"Name","Type","Compiled"
"KEYCAR_VEHICLE_BASE","TABLE","2022/7/26 19:21:27"
"KEYCAR_VEHICLE_BASE_INQD","TABLE","2022/7/26 19:21:28"
"KEYCAR_YJ","TABLE","2022/7/26 19:21:29"
"MONITOR_SERVICE_AREA","TABLE","2022/7/26 19:22:54"
"PIC_POST_ROLE_RELATION","TABLE","2022/7/26 19:21:02"
"PIC_SHORTCUT_COMMAND","TABLE","2022/7/26 19:22:49"
"PIS_DIG_CONFIG","TABLE","2022/7/26 19:22:37"
"PIS_DIG_REPORTER","TABLE","2022/7/26 19:22:37"
"PIS_DIG_RULE","TABLE","2022/7/26 19:22:37"
"PIS_FAST_OPER_LOG","TABLE","2022/7/26 19:22:03"
"PIS_IMPORT_RELATION","TABLE","2022/7/26 19:20:55"
"PIS_INFO_RECEIVE","TABLE","2022/7/26 19:20:59"
"PIS_ORDER","TABLE","2022/7/26 19:22:54"
"PIS_ORDER_CIRCULATION","TABLE","2022/7/26 19:23:02"
"PIS_POLICE_CASE_INFO","TABLE","2022/7/26 19:21:03"
"PIS_POLICE_INFO","TABLE","2022/7/26 19:21:31"
"PIS_SECTION_STATUS_COMPUTE","TABLE","2022/7/26 19:21:43"
"PIS_SECTION_STATUS_TODAY","TABLE","2022/7/26 19:21:41"
"PIS_SECTION_WARN_THRESHOLD","TABLE","2022/7/26 19:21:40"
"PIS_SENDPOSTS_CONFIG","TABLE","2022/7/26 19:21:03"
"POLICE_BASE","TABLE","2022/7/26 19:22:09"
"POLICE_CAR_ONLINE_INDEX","TABLE","2022/7/26 19:22:34"
"POLICE_EQUIP_BASE","TABLE","2022/7/26 19:22:10"
"SECTION_WARN_THRESHOLD","TABLE","2022/7/26 19:21:31"
"VIDEO_PRESET_COORDINATE","TABLE","2022/7/26 19:22:17"
"WARN_BASE_INFO","TABLE","2022/7/26 19:23:00"
"WARN_PASS_INFO","TABLE","2022/7/26 19:23:00"
